Recording	Participant	age_group	gender	Timeline	TOI	Interval	Media	calorie	AOI	product_attributes	purchase_decision	Last_key_press	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Duration_of_first_fixation	Last_AOI_viewed	AOI_at_interval_end	Average_pupil_diameter	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Average_whole-fixation_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Selective_regression-path_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	buy		buy		317	158	117	200	2	2277	200	picture	picture	2.78967	317	158	117	200	2	2277	200	2.78967	367	367	367	367	1	2277	367	433	433	433	433	1	2211	433	1	3067	790	0			1	2211		298.51													
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	ingredients	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	name	name			983	164	67	267	6	744	267	picture	picture	2.78034	983	164	67	267	6	744	267	2.78034	1117	372	267	550	3	744	267	1200	400	283	567	3	727	283	0			0			1	727	2211	86.67													
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	Nutrition	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	picture	Picture			700	100	56	144	7	0	144	picture	picture	2.86195	500	100	67	133	5	311	133	2.87808	1017	339	56	517	3	0	444	1050	350	73	534	3	0	444	0			0			2	3027		69.7													
Recording1	p01	26-33	male	Timeline1	cake	1	cake	high	price	specifications			0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	buy		buy		117	117	117	117	1	7294	117	picture	picture	2.85878	117	117	117	117	1	7294	117	2.85878	117	117	117	117	1	7294	117	133	133	133	133	1	7277	133	1	7670	376	0			0																
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	ingredients	specifications			734	183	67	283	4	3327	67	picture	picture	2.77452	734	183	67	283	4	3327	67	2.77452	817	272	67	567	3	3327	67	884	295	84	600	3	3311	84	0			0			0	4161	4761	112.07													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	name	name			750	187	100	317	4	478	317	picture	picture	2.80901	750	187	100	317	4	478	317	2.80901	867	289	100	450	3	478	317	933	311	133	467	3	461	333	0			0			0	1711	795	53.84													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	not-buy		not-buy		0				0			picture	picture		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	Nutrition	specifications			1782	162	67	300	11	1945	300	picture	picture	2.842	1782	162	67	300	11	1945	300	2.842	2615	1308	583	2033	2	1945	583	2699	1349	599	2099	2	1928	599	0			0			2	4761	2527	511.84													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	picture	Picture			967	138	67	217	7	0	145	picture	picture	2.8481	650	130	67	217	5	195	67	2.82976	1101	220	83	400	5	0	261	1317	263	189	450	5	0	261	0			0			0	795	1711	38.53													
Recording1	p01	26-33	male	Timeline1	cereal	1	cereal	low	price	specifications			333	167	117	217	2	3528	117	picture	picture	2.69519	333	167	117	217	2	3528	117	2.69519	333	167	117	217	2	3528	117	367	183	133	233	2	3511	133	0			0			0		4161														
Recording1	p01	26-33	male	Timeline1	date	1	date	low	buy		buy		123	61	39	83	2	5327	83	buy	buy	2.87706	83	83	83	83	1	5327	83	2.85554	123	61	39	83	2	5327	83	223	111	89	133	2	5277	133	1	5795	467	0			0	5277		104.65													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	ingredients	specifications			300	100	67	133	3	1878	133	buy	buy	2.7853	300	100	67	133	3	1878	133	2.7853	450	225	100	350	2	1878	350	517	258	150	367	2	1861	367	0			0			0	2395	2228	301.69													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	name	name			350	117	83	150	3	2928	150	buy	buy	2.73995	350	117	83	150	3	2928	150	2.73995	417	208	150	267	2	2928	150	467	233	167	300	2	2911	167	0			0			0		3078														
Recording1	p01	26-33	male	Timeline1	date	1	date	low	not-buy		not-buy		0				0			buy	buy		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	date	1	date	low	Nutrition	specifications			699	140	83	249	5	3661	117	buy	buy	2.86794	699	140	83	249	5	3661	117	2.86794	1116	1116	1116	1116	1	3661	1116	1183	1183	1183	1183	1	3594	1183	0			0			1	3594		365.79													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	picture	Picture			1261	105	28	183	12	0	28	buy	buy	2.83718	1233	112	67	183	11	45	100	2.83467	1861	372	83	1361	5	0	1361	2095	419	100	1361	5	0	1361	0			0			3	2228	2395	388.8													
Recording1	p01	26-33	male	Timeline1	date	1	date	low	price	specifications			67	67	67	67	1	2561	67	buy	buy	2.77167	67	67	67	67	1	2561	67	2.77167	67	67	67	67	1	2561	67	83	83	83	83	1	2545	83	0			0			0	2545		67.05													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	buy		buy		22	22	22	22	1	5495	22	buy	buy	2.65632	0				0				22	22	22	22	1	5495	22	39	39	39	39	1	5478	39	1	5486		0			0																
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	ingredients	specifications			283	71	67	83	4	4244	83	buy	buy	2.68025	283	71	67	83	4	4244	83	2.68025	484	484	484	484	1	4244	484	567	567	567	567	1	4161	567	0			0			2	4161	4728	473.25													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	name	name			717	119	83	167	6	477	133	buy	buy	2.69473	717	119	83	167	6	477	133	2.69473	983	492	383	600	2	477	383	1067	533	417	650	2	444	417	0			0			2	444		100.23													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	not-buy		not-buy		0				0			buy	buy		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	Nutrition	specifications			317	106	67	133	3	3527	117	buy	buy	2.85704	317	106	67	133	3	3527	117	2.85704	633	633	633	633	1	3527	633	750	750	750	750	1	3411	750	0			0			0		4161														
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	picture	Picture			994	166	67	277	6	0	277	buy	buy	2.78356	716	143	67	200	5	311	133	2.78656	1061	265	183	444	4	0	444	1144	286	216	444	4	0	444	0			0			2	4728	444	300.54													
Recording1	p01	26-33	male	Timeline1	ice-cream	1	ice-cream	high	price	specifications			0				0			buy	buy		0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	buy		buy		767	192	100	267	4	5828	233	picture		2.8977	767	192	100	267	4	5828	233	2.8977	817	408	167	650	2	5828	650	917	458	233	683	2	5795	683	1	7277	1448	0			2	5795	6945	248.7													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	ingredients	specifications			684	137	117	183	5	1094	117	picture		2.99092	684	137	117	183	5	1094	117	2.99092	884	442	117	767	2	1094	117	1001	500	150	851	2	1061	150	0			0			1	1061	1211	118.69													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	name	name			900	300	217	417	3	594	217	picture		2.83168	900	300	217	417	3	594	217	2.83168	917	458	217	700	2	594	217	983	492	250	733	2	561	250	0			0			1	561	811	145.27													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	Nutrition	specifications			800	160	133	200	5	3677	150	picture		3.03841	800	160	133	200	5	3677	150	3.03841	1217	1217	1217	1217	1	3677	1217	1233	1233	1233	1233	1	3661	1233	0			0			0																
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	picture	Picture			1283	160	67	283	8	28	150	picture		2.82075	1283	160	67	283	8	28	150	2.82075	1683	421	117	750	4	28	533	1827	457	167	767	4	0	561	0			0			2	6945	561	388.6													
Recording1	p01	26-33	male	Timeline1	pizza	1	pizza	high	price	specifications			267	133	83	183	2	1278	183	picture		2.90706	267	133	83	183	2	1278	183	2.90706	317	317	317	317	1	1278	317	384	384	384	384	1	1211	384	0			0			0	1211	1595	66.58													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		123	61	39	83	2	83472	83	picture		2.87706	83	83	83	83	1	83472	83	2.85554	123	61	39	83	2	83472	83	223	111	89	133	2	83422	133	1	83939	467	0			0	83422		104.65													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		317	158	117	200	2	86871	200	picture		2.78967	317	158	117	200	2	86871	200	2.78967	367	367	367	367	1	86871	367	433	433	433	433	1	86805	433	1	87661	790	0			1	86805		298.51													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		117	117	117	117	1	71288	117	picture		2.85878	117	117	117	117	1	71288	117	2.85878	117	117	117	117	1	71288	117	133	133	133	133	1	71272	133	1	71665	376	0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		22	22	22	22	1	77522	22	picture		2.65632	0				0				22	22	22	22	1	77522	22	39	39	39	39	1	77505	39	1	77513		0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	buy		buy		767	192	100	267	4	61872	233	picture		2.8977	767	192	100	267	4	61872	233	2.8977	817	408	167	650	2	61872	650	917	458	233	683	2	61839	683	1	63321	1448	0			2	61839	62989	248.7													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			300	100	67	133	3	80022	133	picture		2.7853	300	100	67	133	3	80022	133	2.7853	450	225	100	350	2	80022	350	517	258	150	367	2	80005	367	0			0			0	80539	80372	301.69													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			734	183	67	283	4	67322	67	picture		2.77452	734	183	67	283	4	67322	67	2.77452	817	272	67	567	3	67322	67	884	295	84	600	3	67305	84	0			0			0	68155	68756	112.07													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			283	71	67	83	4	76272	83	picture		2.68025	283	71	67	83	4	76272	83	2.68025	484	484	484	484	1	76272	484	567	567	567	567	1	76188	567	0			0			2	76188	76755	473.25													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	ingredients	specifications			684	137	117	183	5	57138	117	picture		2.99092	684	137	117	183	5	57138	117	2.99092	884	442	117	767	2	57138	117	1001	500	150	851	2	57105	150	0			0			1	57105	57255	118.69													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			350	117	83	150	3	81072	150	picture		2.73995	350	117	83	150	3	81072	150	2.73995	417	208	150	267	2	81072	150	467	233	167	300	2	81055	167	0			0			0		81222														
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			983	164	67	267	6	85338	267	picture		2.78034	983	164	67	267	6	85338	267	2.78034	1117	372	267	550	3	85338	267	1200	400	283	567	3	85321	283	0			0			1	85321	86805	86.67													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			750	187	100	317	4	64472	317	picture		2.80901	750	187	100	317	4	64472	317	2.80901	867	289	100	450	3	64472	317	933	311	133	467	3	64456	333	0			0			0	65706	64789	53.84													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			717	119	83	167	6	72505	133	picture		2.69473	717	119	83	167	6	72505	133	2.69473	983	492	383	600	2	72505	383	1067	533	417	650	2	72472	417	0			0			2	72472		100.23													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	name	name			900	300	217	417	3	56638	217	picture		2.83168	900	300	217	417	3	56638	217	2.83168	917	458	217	700	2	56638	217	983	492	250	733	2	56605	250	0			0			1	56605	56855	145.27													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	not-buy		not-buy		0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			699	140	83	249	5	81805	117	picture		2.86794	699	140	83	249	5	81805	117	2.86794	1116	1116	1116	1116	1	81805	1116	1183	1183	1183	1183	1	81739	1183	0			0			1	81739		365.79													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			1782	162	67	300	11	65939	300	picture		2.842	1782	162	67	300	11	65939	300	2.842	2615	1308	583	2033	2	65939	583	2699	1349	599	2099	2	65922	599	0			0			2	68756	66521	511.84													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			317	106	67	133	3	75555	117	picture		2.85704	317	106	67	133	3	75555	117	2.85704	633	633	633	633	1	75555	633	750	750	750	750	1	75438	750	0			0			0		76188														
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	Nutrition	specifications			800	160	133	200	5	59722	150	picture		3.03841	800	160	133	200	5	59722	150	3.03841	1217	1217	1217	1217	1	59722	1217	1233	1233	1233	1233	1	59705	1233	0			0			0																
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			1261	105	28	183	12	78144	28	picture		2.83718	1233	112	67	183	11	78189	100	2.83467	1861	372	83	1361	5	78144	1361	2095	419	100	1361	5	78144	1361	0			0			3	80372	80539	388.8													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			700	100	56	144	7	84594	144	picture		2.86195	500	100	67	133	5	84905	133	2.87808	1017	339	56	517	3	84594	444	1050	350	73	534	3	84594	444	0			0			2	87621		69.7													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			967	138	67	217	7	63994	145	picture		2.8481	650	130	67	217	5	64189	67	2.82976	1101	220	83	400	5	63994	261	1317	263	189	450	5	63994	261	0			0			0	64789	65706	38.53													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			994	166	67	277	6	72027	277	picture		2.78356	716	143	67	200	5	72338	133	2.78656	1061	265	183	444	4	72027	444	1144	286	216	444	4	72027	444	0			0			2	76755	72472	300.54													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	picture	Picture			1283	160	67	283	8	56072	150	picture		2.82075	1283	160	67	283	8	56072	150	2.82075	1683	421	117	750	4	56072	533	1850	462	167	767	4	56022	583	0			0			2	56022	56605	64.1													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			67	67	67	67	1	80705	67	picture		2.77167	67	67	67	67	1	80705	67	2.77167	67	67	67	67	1	80705	67	83	83	83	83	1	80689	83	0			0			0	80689		67.05													
Recording1	p01	26-33	male	Timeline1	Entire Recording	1	cake,cereal,date,fixation,ice-cream,instruction,pizza,thanks	high,low	price	specifications			0				0			picture			0				0				0				0			0				0			0			0			0																
